n,num_tries,optimal_load,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60
60,3093,51,1,2,2,2,6,8,10,13,13,15,17,20,21,23,25,27,27,30,31,32,35,38,39,41,43,44,45,46,48,50,50,51,52,55,62,63,65,67,67,67,68,68,71,72,76,78,80,82,82,85,87,89,93,94,94,100,102,104,105,110
60,1100,18,1,1,1,1,2,2,2,2,3,3,5,6,6,7,7,7,9,9,10,10,13,13,14,14,14,15,15,17,17,18,18,19,20,20,21,21,22,23,24,24,24,25,26,26,26,29,29,29,29,30,31,33,34,36,37,37,38,40,42,43
60,1543,25,1,1,1,2,2,5,5,6,6,8,8,9,9,9,9,9,10,12,12,15,16,17,18,18,18,21,22,22,24,25,26,26,26,27,28,30,31,33,33,33,33,34,35,36,38,39,40,40,40,41,42,43,50,50,52,53,58,59,63,64
60,1943,32,1,1,1,2,4,4,4,6,7,9,10,11,14,15,15,17,18,20,20,22,22,23,23,23,23,27,27,28,28,30,31,32,33,33,34,35,38,38,41,45,45,46,47,48,48,50,53,55,55,56,58,59,59,60,61,62,64,67,67,68
60,1991,33,1,1,2,2,3,4,5,8,8,9,10,12,12,16,16,16,16,19,20,21,21,22,25,26,26,27,29,30,30,31,32,32,32,33,33,36,37,41,42,42,44,45,47,50,51,51,52,52,53,56,57,59,59,60,65,67,69,70,76,80
60,3560,59,1,1,2,6,7,9,10,14,16,17,17,20,22,24,25,28,34,35,39,41,43,43,44,45,51,53,55,57,57,59,62,63,65,66,66,72,77,78,78,79,79,83,83,84,87,90,90,92,97,98,100,100,101,106,111,112,112,116,118,120
60,2206,36,1,1,1,4,6,7,8,8,9,12,12,13,13,14,17,17,20,21,24,25,27,28,28,29,30,32,32,33,34,34,37,37,41,41,43,43,43,45,46,48,49,50,52,54,54,54,56,57,58,59,65,66,66,68,69,70,72,73,75,75
60,982,16,1,1,1,2,2,2,3,3,4,5,5,5,5,6,7,7,7,8,8,9,11,12,12,12,12,13,14,14,14,15,15,16,16,17,18,19,19,20,21,21,21,22,22,23,24,24,25,25,26,26,27,27,28,31,32,35,38,40,40,44
60,2210,36,1,1,2,5,6,6,7,8,10,11,11,11,12,14,14,15,15,17,19,21,22,24,26,26,27,27,27,28,31,32,34,38,38,40,40,41,44,47,47,50,53,53,53,54,57,58,62,64,64,64,65,66,66,68,69,72,75,81,84,87
60,2237,37,1,2,4,4,5,5,7,7,8,9,11,11,12,13,14,16,19,19,21,21,21,24,24,26,26,27,29,34,35,35,38,38,39,39,41,42,42,47,48,48,50,50,52,55,56,59,62,65,65,65,69,69,69,72,73,74,75,78,80,87
60,1765,29,1,2,2,3,3,4,5,6,8,9,10,10,11,12,12,13,14,14,16,16,16,19,19,23,23,25,26,26,27,27,29,29,30,30,31,34,34,35,38,38,39,39,43,43,43,44,47,48,51,51,51,51,52,52,56,59,60,66,67,73
60,1764,29,1,1,1,2,2,2,5,6,7,8,9,10,12,13,13,14,15,16,16,17,19,20,23,24,24,25,25,26,27,27,27,28,30,33,33,34,34,36,37,38,38,38,41,42,42,43,46,46,47,48,50,52,52,57,58,60,62,65,66,71
60,2309,38,1,1,1,4,4,8,9,11,12,12,13,15,15,15,17,18,19,21,22,23,24,25,28,29,30,32,32,32,34,35,35,37,37,42,44,45,46,48,50,51,53,53,54,55,57,59,60,61,62,65,72,72,72,73,74,74,76,77,80,83
60,4419,73,1,2,4,4,11,13,14,15,15,25,25,25,25,34,36,37,38,43,46,48,49,50,55,56,58,60,63,63,63,64,66,69,73,80,84,84,93,94,98,103,104,107,110,110,110,111,112,120,122,126,127,133,134,134,135,139,144,145,150,160
60,3189,53,1,2,4,6,6,6,8,10,13,14,16,21,21,21,24,24,26,28,30,32,34,34,42,44,45,46,48,48,50,54,55,55,57,61,62,62,63,63,71,73,74,75,76,78,79,80,81,86,86,87,88,90,92,95,98,100,109,111,111,113
60,3861,64,1,1,2,3,6,10,11,12,14,18,20,21,23,26,27,31,34,35,40,41,42,44,44,45,46,47,53,56,56,58,65,66,68,71,76,77,79,79,81,82,88,94,94,95,95,103,107,109,111,113,113,117,118,119,121,127,128,131,132,135
60,1050,17,1,1,1,2,2,3,3,4,4,5,5,6,6,6,7,8,8,8,9,9,9,10,11,12,13,13,13,14,14,15,15,17,17,20,20,20,20,21,21,21,21,23,24,26,26,26,27,27,28,28,29,30,32,34,37,41,43,43,44,47
60,2518,41,1,1,1,2,4,6,7,8,10,11,11,13,13,16,19,19,25,25,27,27,30,32,32,33,33,37,39,39,43,44,47,47,47,48,49,49,50,50,50,51,55,56,57,62,63,64,65,65,66,67,69,71,72,76,77,77,88,89,90,93
60,2135,35,1,1,1,4,4,5,6,9,11,11,11,12,13,16,17,18,19,20,21,24,25,25,26,26,27,30,31,32,32,34,34,34,35,37,38,41,43,43,44,45,45,45,46,47,49,52,53,56,57,61,63,65,66,67,68,71,71,78,84,85
60,2066,34,1,1,1,2,4,6,6,6,7,8,8,10,12,13,13,13,16,19,19,19,19,21,21,22,24,28,29,29,30,32,34,35,40,40,41,42,43,46,46,48,48,48,48,48,49,52,53,53,54,57,61,63,64,64,69,69,75,75,77,85
60,1376,22,1,1,1,2,2,2,3,4,4,5,6,8,8,8,8,8,8,11,12,12,13,14,16,17,19,19,20,21,21,21,22,22,23,24,25,25,27,29,30,30,31,31,33,34,36,37,38,40,40,41,43,43,43,43,44,45,45,48,52,57
60,4759,79,1,3,4,4,13,13,14,15,22,24,27,29,33,33,39,43,43,49,49,49,54,56,59,59,62,64,70,70,72,73,76,79,81,83,89,91,94,98,100,102,102,112,113,113,118,124,125,125,131,131,141,143,148,149,150,154,156,157,162,166
60,2104,35,1,1,1,2,3,4,6,7,9,10,10,12,12,13,14,16,18,20,22,24,24,25,26,28,29,31,31,33,33,37,38,40,41,42,42,43,43,44,44,45,45,47,49,50,54,54,56,57,57,60,61,61,61,61,63,65,66,68,69,76
