,time,action,proxy_name,honest_clients,malicious_clients,system_health,total_blocked,total_healthy
0,24.160394967778668,EXPOSE_CLIENT,Proxy 21,0,2,0,0,200
1,27.707603239772027,EXPOSE_CLIENT,Proxy 59,0,1,0,0,200
2,30.607569876907665,EXPOSE_CLIENT,Proxy 39,0,1,0,0,200
3,37.0,CENSOR_TRACK,,14,23,0,20,180
4,31.730265662194263,EXPOSE_CLIENT,Proxy 44,0,2,0,0,200
5,36.33512238613802,EXPOSE_CLIENT,Proxy 38,0,1,0,0,200
6,36.90218571059814,EXPOSE_CLIENT,Proxy 59,1,1,0,0,200
7,39.035589681095004,EXPOSE_CLIENT,Proxy 40,0,1,0,0,200
8,41.61867403497011,EXPOSE_CLIENT,Proxy 58,0,2,0,0,200
9,42.90750037943696,EXPOSE_CLIENT,Proxy 38,1,1,0,0,200
10,49.30888602051282,EXPOSE_CLIENT,Proxy 67,0,1,0,0,200
11,50.1110297458785,EXPOSE_CLIENT,Proxy 41,0,1,0,0,200
12,61.36268871543018,EXPOSE_CLIENT,Proxy 63,1,1,0,0,200
13,61.411521942809244,EXPOSE_CLIENT,Proxy 14,0,1,0,0,200
14,62.089281969468466,EXPOSE_CLIENT,Proxy 29,0,1,0,0,200
15,63.718909181580564,EXPOSE_CLIENT,Proxy 75,0,1,0,0,200
16,66.51151791483734,EXPOSE_CLIENT,Proxy 58,1,2,0,0,200
17,69.39445996900947,EXPOSE_CLIENT,Proxy 17,0,1,0,0,200
18,76.96939326772292,EXPOSE_CLIENT,Proxy 73,0,1,0,0,200
19,77.45229879019442,EXPOSE_CLIENT,Proxy 72,0,1,0,0,200
20,84.18000830619162,EXPOSE_CLIENT,Proxy 58,2,2,0,0,200
21,103.0,CENSOR_TRACK,,45,58,0,40,160
22,94.8455790582764,EXPOSE_CLIENT,Proxy 79,0,1,0,0,200
23,95.83769822369078,EXPOSE_CLIENT,Proxy 56,0,1,0,0,200
24,96.29181749135562,EXPOSE_CLIENT,Proxy 61,0,1,0,0,200
25,101.49054906396555,EXPOSE_CLIENT,Proxy 37,0,5,0,0,200
26,105.58242097550216,EXPOSE_CLIENT,Proxy 24,0,3,0,0,200
27,106.37260807656969,EXPOSE_CLIENT,Proxy 24,1,3,0,0,200
28,116.80112355902423,EXPOSE_CLIENT,Proxy 29,1,2,0,0,200
29,118.86336074619466,EXPOSE_CLIENT,Proxy 72,1,1,0,0,200
30,120.06887989192563,EXPOSE_CLIENT,Proxy 25,0,3,0,0,200
31,140.2863696589273,EXPOSE_CLIENT,Proxy 79,1,1,0,0,200
32,144.9951700680676,EXPOSE_CLIENT,Proxy 41,1,1,0,0,200
33,148.89201945457313,EXPOSE_CLIENT,Proxy 42,0,1,0,0,200
34,149.50387935143368,EXPOSE_CLIENT,Proxy 73,1,1,0,0,200
35,153.28797654478328,EXPOSE_CLIENT,Proxy 53,0,1,0,0,200
36,159.2874909245277,EXPOSE_CLIENT,Proxy 36,0,1,0,0,200
37,175.42383344612114,EXPOSE_CLIENT,Proxy 61,1,2,0,0,200
38,181.66673818539155,EXPOSE_CLIENT,Proxy 37,1,6,0,0,200
39,195.7861487400707,EXPOSE_CLIENT,Proxy 40,1,4,0,0,200
40,201.07749629120212,EXPOSE_CLIENT,Proxy 57,0,2,0,0,200
41,201.47457865931543,EXPOSE_CLIENT,Proxy 63,2,2,0,0,200
42,203.06939466115304,EXPOSE_CLIENT,Proxy 42,1,1,0,0,200
43,203.12806629661765,EXPOSE_CLIENT,Proxy 40,2,4,0,0,200
44,208.37382461887387,EXPOSE_CLIENT,Proxy 50,1,1,0,0,200
45,211.75248854748946,EXPOSE_CLIENT,Proxy 75,1,2,0,0,200
46,212.85775786353292,EXPOSE_CLIENT,Proxy 61,2,2,0,0,200
47,214.2972843813843,EXPOSE_CLIENT,Proxy 71,0,2,0,0,200
48,217.99642455453633,EXPOSE_CLIENT,Proxy 60,1,1,0,0,200
49,218.60367041680232,EXPOSE_CLIENT,Proxy 64,5,3,0,0,200
50,220.0,CENSOR_TRACK,,104,116,0,60,140
51,221.38314657055827,EXPOSE_CLIENT,Proxy 87,2,1,0,0,200
52,221.72760518720264,EXPOSE_CLIENT,Proxy 83,2,2,0,0,200
53,235.3274003929573,EXPOSE_CLIENT,Proxy 68,0,2,0,0,200
54,235.79661193929317,EXPOSE_CLIENT,Proxy 90,1,1,0,0,200
55,236.73729835278914,EXPOSE_CLIENT,Proxy 83,3,2,0,0,200
56,242.9989631019315,EXPOSE_CLIENT,Proxy 87,3,1,0,0,200
57,248.95415276761545,EXPOSE_CLIENT,Proxy 98,0,1,0,0,200
58,254.37614318979612,EXPOSE_CLIENT,Proxy 82,0,3,0,0,200
59,257.90586920133114,EXPOSE_CLIENT,Proxy 76,0,2,0,0,200
60,258.0561222797328,EXPOSE_CLIENT,Proxy 87,4,1,0,0,200
61,262.8472260058402,EXPOSE_CLIENT,Proxy 97,0,1,0,0,200
62,264.6254300810806,EXPOSE_CLIENT,Proxy 86,1,2,0,0,200
63,265.371311501956,EXPOSE_CLIENT,Proxy 81,0,2,0,0,200
64,266.7637359807204,EXPOSE_CLIENT,Proxy 99,1,1,0,0,200
65,268.5941191053598,EXPOSE_CLIENT,Proxy 76,1,2,0,0,200
66,271.1104926110662,EXPOSE_CLIENT,Proxy 87,5,2,0,0,200
67,273.3081363020002,EXPOSE_CLIENT,Proxy 73,2,2,0,0,200
68,273.8493099393123,EXPOSE_CLIENT,Proxy 102,1,2,0,0,200
69,275.8065144775709,EXPOSE_CLIENT,Proxy 103,0,1,0,0,200
70,278.7899271525438,EXPOSE_CLIENT,Proxy 99,2,1,0,0,200
71,280.19121229414924,EXPOSE_CLIENT,Proxy 85,0,2,0,0,200
72,287.4199271960559,EXPOSE_CLIENT,Proxy 87,6,2,0,0,200
73,292.179574132194,EXPOSE_CLIENT,Proxy 99,3,2,0,0,200
74,295.5550493955978,EXPOSE_CLIENT,Proxy 120,0,1,0,0,200
75,298.8457672767198,EXPOSE_CLIENT,Proxy 118,0,1,0,0,200
76,308.0,CENSOR_TRACK,,146,162,0,80,120
77,301.2575143481439,EXPOSE_CLIENT,Proxy 103,1,3,0,0,200
78,304.9210004679555,EXPOSE_CLIENT,Proxy 72,2,3,0,0,200
79,305.66074103558077,EXPOSE_CLIENT,Proxy 93,2,1,0,0,200
80,305.7288863857183,EXPOSE_CLIENT,Proxy 76,2,2,0,0,200
