n,trials,sample_mean,n_squared,one_half_n_squared,two_n_squared,H_n,nH_n,upper_bound,diff
2,100,4,4,6,8,1,1,5,0.25
3,100,11,9,13.5,18,1.84249462,5.527483861,15.75,0.4444444444
4,100,22,16,24,32,2.088510026,8.354040104,28,0.375
5,100,40,25,37.5,50,2.286653577,11.43326789,43.75,0.12
6,100,56,36,54,72,2.452308467,14.7138508,63,0.1944444444
7,100,71,49,73.5,98,2.594554385,18.1618807,85.75,0.2857142857
8,100,91,64,96,128,2.719157207,21.75325765,112,0.328125
9,100,129,81,121.5,162,2.829995798,25.46996218,141.75,0.1481481481
10,100,143,100,150,200,2.929800758,29.29800758,175,0.32
11,100,190,121,181.5,242,3.020565483,33.22622031,211.75,0.173553719
12,100,229,144,216,288,3.103788981,37.24546778,252,0.1597222222
13,100,293,169,253.5,338,3.180626561,41.34814529,295.75,0.01183431953
14,100,292,196,294,392,3.25198728,45.52782192,343,0.2602040816
15,100,353,225,337.5,450,3.318599199,49.77898799,393.75,0.1777777778
16,100,433,256,384,512,3.381054387,54.09687019,448,0.05859375
17,100,507,289,433.5,578,3.439840774,58.47729315,505.75,-0.006920415225
18,100,576,324,486,648,3.495365201,62.91657361,567,-0.02777777778
19,100,558,361,541.5,722,3.547970434,67.41143824,631.75,0.2022160665
20,100,653,400,600,800,3.597947938,71.95895877,700,0.1175
21,50,730,441,661.5,882,3.645547626,76.55650016,771.75,0.09297052154
22,50,789,484,726,968,3.690985391,81.2016786,847,0.1198347107
23,50,884,529,793.5,1058,3.734449011,85.89232726,925.75,0.0775047259
24,50,981,576,864,1152,3.776102829,90.62646789,1008,0.046875
25,50,990,625,937.5,1250,3.81609149,95.40228724,1093.75,0.1648
26,50,1067,676,1014,1352,3.854542972,100.2181173,1183,0.1715976331
27,50,1179,729,1093.5,1458,3.891571049,105.0724183,1275.75,0.1316872428
28,50,1250,784,1176,1568,3.927277318,109.9637649,1372,0.1556122449
29,50,1547,841,1261.5,1682,3.961752874,114.8908334,1471.75,-0.0903686088
30,50,1443,900,1350,1800,3.995079713,119.8523914,1575,0.1466666667
31,50,1602,961,1441.5,1922,4.027331902,124.847289,1681.75,0.08220603538
32,50,1709,1024,1536,2048,4.058576568,129.8744502,1792,0.0810546875
33,50,1646,1089,1633.5,2178,4.088874742,134.9328665,1905.75,0.2378328742
34,50,1865,1156,1734,2312,4.118282072,140.0215904,2023,0.1366782007
35,50,2058,1225,1837.5,2450,4.146849441,145.1397304,2143.75,0.0693877551
36,50,2663,1296,1944,2592,4.174623492,150.2864457,2268,-0.3047839506
37,50,2177,1369,2053.5,2738,4.201647091,155.4609424,2395.75,0.1592403214
38,50,2476,1444,2166,2888,4.227959719,160.6624693,2527,0.03531855956
39,50,2414,1521,2281.5,3042,4.253597824,165.8903151,2661.75,0.1623931624
40,50,2821,1600,2400,3200,4.278595119,171.1438048,2800,-0.013125
41,50,2698,1681,2521.5,3362,4.302982854,176.422297,2941.75,0.1445568114
42,50,2817,1764,2646,3528,4.326790045,181.7251819,3087,0.1530612245
43,50,2807,1849,2773.5,3698,4.350043688,187.0518786,3235.75,0.2314764738
44,50,2772,1936,2904,3872,4.372768935,192.4018331,3388,0.3181818182
45,50,3350,2025,3037.5,4050,4.394989266,197.774517,3543.75,0.09530864198
46,50,3356,2116,3174,4232,4.416726627,203.1694248,3703,0.1639886578
47,50,3613,2209,3313.5,4418,4.438001564,208.5860735,3865.75,0.1140787687
48,50,3606,2304,3456,4608,4.458833342,214.0240004,4032,0.1848958333
49,50,3970,2401,3601.5,4802,4.479240045,219.4827622,4201.75,0.09620991254
50,50,4085,2500,3750,5000,4.49923867,224.9619335,4375,0.116
51,50,5191,2601,3901.5,5202,4.518845219,230.4611062,4681.8,-0.1960784314
52,50,4152,2704,4056,5408,4.538074768,235.9798879,4867.2,0.2644230769
53,50,4069,2809,4213.5,5618,4.556941541,241.5179017,5056.2,0.3513705945
54,50,4735,2916,4374,5832,4.575458971,247.0747844,5248.8,0.1759259259
55,50,4925,3025,4537.5,6050,4.593639759,252.6501868,5445,0.1719008264
56,50,5175,3136,4704,6272,4.611495927,258.2437719,5644.8,0.1495535714
57,50,5189,3249,4873.5,6498,4.629038863,263.8552152,5848.2,0.2028316405
58,50,5712,3364,5046,6728,4.646279365,269.4842032,6055.2,0.1019619501
59,50,5892,3481,5221.5,6962,4.663227685,275.1304334,6265.8,0.1071531169
60,50,5767,3600,5400,7200,4.67989356,280.7936136,6480,0.1980555556
61,10,7661,3721,5581.5,7442,4.69628625,286.4734613,6697.8,-0.2590701424
62,10,6640,3844,5766,7688,4.712414566,292.1697031,6919.2,0.07258064516
