n,giant_steps,upper_bound,average,sample_mean,lower_bound
10,5,91.22177073,58.11088536,45,25
11,5,110.3783426,70.31417129,49,30.25
12,5,131.3593498,83.67967492,59,36
13,5,154.1647925,98.20739626,64,42.25
14,5,178.7946706,113.8973353,71,49
15,5,205.2489841,130.7494921,115,56.25
16,5,233.5277331,148.7638665,117,64
17,5,263.6309174,167.9404587,131,72.25
18,5,295.5585372,188.2792686,140,81
19,5,399.0843347,248.6782384,152,98.272142
20,5,442.1987089,275.5437544,218,108.8888
21,5,487.5240765,303.7869893,210,120.049902
22,5,535.0604377,333.4079429,227,131.755448
23,5,584.8077925,364.4066152,243,144.005438
24,5,636.7661408,396.7830064,251,156.799872
25,5,690.9354826,430.5371163,333,170.13875
26,5,747.315818,465.668945,355,184.022072
27,5,805.9071469,502.1784924,372,198.449838
28,5,866.7094694,540.0657587,375,213.422048
29,5,929.7227854,579.3307437,383,228.938702
30,5,994.9470949,619.9734475,514,244.9998
31,5,1062.382398,661.99387,523,261.605342
32,5,1132.028695,705.3920113,546,278.755328
33,5,1203.885985,750.1678714,572,296.449758
34,5,1277.954269,796.3214503,558,314.688632
35,5,1354.233546,843.8527479,672,333.47195
36,5,1432.723817,892.7617643,704,352.799712
37,5,1513.425081,943.0484995,687,372.671918
38,5,1596.337339,994.7129535,756,393.088568
39,5,1681.46059,1047.755126,803,414.049662
40,5,1768.794835,1102.175018,875,435.5552
41,5,1858.340074,1157.972628,864,457.605182
42,5,1950.096306,1215.147957,900,480.199608
43,5,2044.063532,1273.701005,937,503.338478
44,5,2140.241751,1333.631771,1035,527.021792
45,5,2238.630964,1394.940257,1201,551.24955
46,5,2339.23117,1457.626461,1159,576.021752
47,5,2442.04237,1521.690384,1225,601.338398
48,5,2547.064563,1587.132026,1166,627.199488
49,5,2654.29775,1653.951386,1258,653.605022
50,5,2763.74193,1722.148465,1436,680.555
51,5,2875.397104,1791.723263,1484,708.049422
52,5,2989.263272,1862.67578,1490,736.088288
53,5,3105.340433,1935.006015,1561,764.671598
54,5,3654.057142,2242.153247,1467,830.249352
55,5,3790.645697,2325.964874,1698,861.28405
56,5,3929.740465,2411.314328,1637,892.888192
57,5,4071.341445,2498.201611,1706,925.061778
58,5,4215.448637,2586.626722,1745,957.804808
59,5,4362.06204,2676.589661,1821,991.117282
60,5,4511.181656,2768.090428,2187,1024.9992
61,5,4662.807484,2861.129023,2154,1059.450562
62,5,4816.939524,2955.705446,2069,1094.471368
63,5,4973.577776,3051.819697,2061,1130.061618
64,5,5132.72224,3149.471776,2144,1166.221312
65,5,5294.372916,3248.661683,2443,1202.95045
66,5,5458.529804,3349.389418,2474,1240.249032
67,5,5625.192904,3451.654981,2493,1278.117058
68,5,5794.362216,3555.458372,2470,1316.554528
69,5,5966.03774,3660.799591,2517,1355.561442
70,5,6140.219476,3767.678638,2915,1395.1378
71,5,6316.907425,3876.095513,2692,1435.283602
72,5,6496.101585,3986.050216,2824,1475.998848
73,5,6677.801957,4097.542748,2779,1517.283538
74,5,6862.008541,4210.573107,3272,1559.137672
75,5,7048.721338,4325.141294,3228,1601.56125
76,5,7237.940346,4441.247309,3111,1644.554272
77,5,7429.665567,4558.891152,3229,1688.116738
78,5,7623.896999,4678.072823,3246,1732.248648
79,5,7820.634643,4798.792323,3375,1776.950002
80,5,8019.8785,4921.04965,3868,1822.2208
81,5,8221.628568,5044.844805,3428,1868.061042
82,5,8425.884849,5170.177788,3653,1914.470728
83,5,8632.647342,5324.6046,3702,2016.561858
84,5,8841.916046,5453.681239,3999,2065.446432
85,5,9053.690963,5584.303706,4153,2114.91645
86,5,9267.972091,5716.472002,4373,2164.971912
87,5,9484.759432,5850.186125,4162,2215.612818
88,5,9704.052985,5985.446076,4108,2266.839168
89,5,9925.85275,6122.251856,4253,2318.650962
90,5,10150.15873,6260.603463,4465,2371.0482
91,5,10376.97092,6400.500899,5014,2424.030882
92,5,10606.28932,6541.944162,4476,2477.599008
93,5,10838.11393,6684.933254,4273,2531.752578
94,5,11072.44475,6829.468173,5199,2586.491592
95,5,11309.28179,6975.54892,5597,2641.81605
96,5,11548.62504,7123.175496,5355,2697.725952
97,5,11790.4745,7272.347899,5005,2754.221298
98,5,12034.83017,7423.066131,5067,2811.302088
99,5,12281.69206,7575.330191,5311,2868.968322
