n,num_tries,optimal_load,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
100,100000,1000,10,27,49,77,96,103,144,147,153,198,208,237,255,262,267,292,337,339,343,389,391,409,428,472,489,520,528,540,567,576,606,622,642,672,684,708,719,742,761,797,811,831,839,877,897,899,905,955,983,984,986,1006,1025,1049,1073,1105,1152,1156,1189,1209,1217,1237,1238,1259,1292,1309,1346,1353,1380,1415,1416,1451,1479,1487,1527,1528,1551,1571,1587,1592,1607,1630,1648,1672,1702,1703,1719,1736,1765,1778,1780,1789,1815,1869,1897,1935,1962,1966,2014,2041
100,100000,1000,7,27,49,69,78,107,125,145,181,185,197,223,260,279,295,303,355,359,367,383,392,396,459,462,467,504,510,526,581,583,595,623,653,669,703,712,737,757,783,799,824,836,837,854,866,880,930,956,964,1001,1010,1037,1057,1062,1080,1115,1120,1159,1163,1196,1221,1233,1234,1283,1292,1306,1345,1376,1377,1401,1410,1419,1450,1466,1485,1511,1539,1554,1587,1596,1617,1621,1638,1668,1669,1681,1724,1779,1784,1801,1818,1828,1858,1873,1885,1909,1916,1957,2010,2027
100,100000,1000,8,30,51,62,78,109,121,151,165,184,202,204,240,266,299,323,326,335,344,382,421,442,453,481,490,500,504,542,557,571,596,634,654,671,680,718,737,748,766,768,802,826,842,886,894,906,915,929,964,999,1000,1014,1029,1059,1092,1106,1115,1143,1149,1162,1174,1221,1247,1275,1288,1311,1347,1362,1383,1383,1427,1432,1467,1472,1494,1534,1546,1555,1591,1611,1611,1620,1651,1683,1717,1734,1744,1748,1765,1778,1793,1828,1856,1868,1922,1925,1939,1966,2005,2082
100,100000,1000,7,31,53,63,73,103,118,150,171,178,210,229,235,289,296,310,330,351,371,402,414,417,449,460,480,523,537,558,575,586,612,630,654,659,681,733,736,756,782,790,825,841,850,856,903,915,929,932,949,1013,1031,1045,1069,1070,1084,1093,1148,1156,1165,1175,1229,1237,1248,1265,1295,1345,1347,1354,1388,1392,1398,1400,1436,1459,1477,1486,1502,1533,1553,1602,1626,1642,1652,1659,1685,1730,1731,1740,1751,1778,1785,1834,1848,1876,1902,1926,1928,1944,1962,2004
100,100000,1000,4,31,48,58,97,115,130,138,151,175,208,212,240,261,278,304,323,338,376,379,390,424,455,465,468,494,514,549,568,577,613,615,623,669,711,726,731,747,752,807,824,827,846,860,861,926,935,973,987,998,1013,1078,1081,1083,1092,1096,1141,1163,1169,1175,1218,1224,1229,1277,1301,1309,1310,1335,1378,1381,1395,1396,1433,1449,1467,1493,1515,1595,1603,1617,1626,1636,1659,1662,1669,1708,1722,1772,1791,1808,1812,1826,1858,1893,1899,1909,1941,1954,1992,2046
100,100000,1000,13,34,51,72,77,95,120,135,164,184,200,219,240,261,281,326,344,345,353,387,397,403,438,484,485,505,530,564,575,597,612,616,629,683,706,709,752,760,768,796,821,831,846,848,875,890,923,956,972,1006,1022,1041,1043,1075,1075,1087,1118,1183,1183,1200,1208,1209,1257,1259,1273,1291,1342,1352,1374,1386,1389,1436,1456,1458,1488,1491,1526,1541,1573,1595,1608,1615,1633,1641,1712,1716,1735,1754,1792,1801,1848,1852,1855,1884,1885,1906,1918,1933,2044,2059
100,100000,1000,10,20,63,67,86,105,131,147,179,184,230,231,249,286,291,296,333,359,366,378,426,430,450,457,459,482,508,556,571,588,589,595,660,673,693,708,747,752,763,781,802,847,865,878,889,905,924,938,966,974,988,1039,1042,1059,1081,1107,1137,1149,1192,1192,1200,1214,1260,1283,1285,1296,1362,1389,1391,1395,1396,1410,1445,1453,1465,1497,1511,1535,1560,1571,1593,1594,1673,1707,1713,1726,1745,1748,1782,1817,1838,1843,1877,1880,1891,1919,1929,1951,1963,2020
100,100000,1000,6,24,57,69,90,95,131,144,167,177,206,237,251,266,291,312,335,336,361,379,420,425,443,457,473,520,532,552,559,582,588,615,615,645,688,692,743,775,792,799,830,830,861,866,875,888,926,963,982,1001,1034,1039,1051,1056,1058,1082,1084,1096,1131,1188,1195,1220,1261,1303,1307,1311,1314,1361,1369,1398,1417,1471,1488,1502,1505,1514,1528,1555,1588,1588,1596,1611,1660,1681,1713,1726,1733,1744,1781,1784,1784,1827,1845,1903,1911,1915,1917,1972,1996,2016
100,100000,1000,8,18,47,72,92,103,134,152,171,197,204,240,248,259,282,307,327,358,376,384,410,429,446,482,489,493,505,546,563,578,600,615,631,641,672,699,707,773,776,793,796,815,831,879,888,913,917,925,969,990,1004,1013,1023,1059,1108,1132,1153,1162,1166,1170,1206,1207,1246,1269,1288,1303,1333,1350,1369,1398,1424,1449,1452,1477,1477,1484,1519,1532,1563,1585,1603,1647,1664,1702,1722,1732,1753,1764,1773,1776,1800,1844,1854,1860,1897,1933,1987,1994,2009,2015
100,100000,1000,9,33,51,64,91,132,136,160,175,186,209,243,244,272,294,308,310,347,368,413,415,424,439,449,496,530,534,554,557,583,605,624,638,671,684,705,740,749,758,789,817,819,824,847,886,890,908,920,946,964,987,1003,1034,1041,1090,1090,1117,1148,1164,1180,1205,1232,1282,1284,1295,1323,1342,1346,1373,1378,1382,1397,1468,1468,1469,1549,1557,1563,1565,1604,1615,1619,1621,1637,1675,1729,1731,1737,1744,1828,1831,1856,1857,1886,1924,1956,1970,1997,2014,2027
100,100000,1000,10,28,36,54,94,96,120,132,166,201,212,228,252,263,272,299,321,351,371,391,417,427,444,462,476,512,515,555,581,606,631,648,654,674,688,696,729,745,751,779,784,802,829,908,910,919,937,963,981,998,1032,1056,1057,1073,1073,1078,1116,1159,1171,1180,1181,1213,1217,1221,1310,1323,1331,1348,1369,1374,1405,1421,1434,1472,1478,1517,1539,1545,1557,1563,1626,1637,1675,1681,1696,1697,1707,1748,1774,1779,1804,1830,1859,1870,1920,1935,1957,2019,2023,2032
100,100000,1000,9,30,57,74,86,100,151,159,166,179,217,235,257,264,280,333,340,346,358,399,430,438,449,455,479,522,535,538,543,588,594,600,634,674,686,701,703,754,755,782,792,807,814,861,884,901,903,921,949,1017,1060,1069,1078,1079,1080,1101,1121,1144,1174,1211,1221,1222,1263,1281,1289,1290,1371,1375,1379,1397,1430,1437,1438,1470,1490,1516,1518,1544,1554,1580,1605,1637,1641,1664,1711,1713,1715,1752,1761,1778,1779,1785,1851,1881,1909,1931,1944,1988,2005,2019
100,100000,1000,14,38,45,57,79,104,122,151,173,187,210,221,250,259,270,303,315,345,367,387,387,422,442,447,479,497,515,541,573,578,592,645,649,672,680,696,702,713,775,781,805,857,859,891,898,931,932,959,972,985,995,996,1050,1062,1099,1129,1147,1182,1184,1189,1211,1214,1242,1267,1309,1319,1335,1346,1378,1396,1398,1438,1456,1472,1473,1499,1521,1525,1566,1613,1631,1649,1655,1662,1667,1705,1711,1765,1776,1794,1817,1821,1880,1898,1915,1936,1971,1972,1989,2003
