n,num_tries,optimal_load,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
20,20000,1000,48,137,240,325,414,504,602,757,888,959,1068,1160,1213,1372,1419,1537,1652,1762,1954,1989
20,20000,1000,53,146,247,341,454,539,672,708,884,906,1053,1134,1307,1310,1463,1570,1627,1745,1856,1985
20,20000,1000,54,145,237,345,440,574,615,759,853,943,1035,1138,1276,1378,1481,1537,1694,1747,1843,1906
20,20000,1000,47,144,251,349,443,547,643,742,867,903,1040,1167,1243,1361,1492,1558,1638,1738,1809,2018
20,20000,1000,51,155,268,348,445,570,643,703,838,909,1009,1113,1250,1311,1507,1526,1698,1769,1885,2002
20,20000,1000,47,150,259,353,453,544,667,802,845,976,1057,1136,1261,1314,1425,1517,1636,1763,1851,1944
20,20000,1000,47,139,252,351,475,576,625,770,828,963,995,1179,1260,1332,1467,1521,1567,1792,1841,2020
20,20000,1000,45,124,247,360,494,570,645,719,856,983,1060,1129,1255,1331,1421,1589,1605,1730,1908,1929
20,20000,1000,51,148,240,330,444,541,627,759,852,974,1031,1113,1284,1350,1393,1551,1697,1798,1857,1960
20,20000,1000,43,162,239,371,454,533,647,745,819,966,1079,1124,1240,1389,1472,1501,1662,1737,1840,1977
