,time,action,proxy_name,honest_clients,malicious_clients,system_health,total_blocked,total_healthy
0,40.0,CENSOR_TRACK,,20,20,0,20,180
1,78.0,CENSOR_TRACK,,37,41,0,40,160
2,106.55009993231853,EXPOSE_CLIENT,Proxy 108,0,1,0,0,200
3,123.85558204605536,EXPOSE_CLIENT,Proxy 54,0,1,0,0,200
4,124.633319467875,EXPOSE_CLIENT,Proxy 157,0,1,0,0,200
5,129.0,CENSOR_TRACK,,66,63,0,60,140
6,131.55844344961332,EXPOSE_CLIENT,Proxy 161,0,1,0,0,200
7,147.95520012998136,EXPOSE_CLIENT,Proxy 38,0,1,0,0,200
8,165.27428651636694,EXPOSE_CLIENT,Proxy 64,0,1,0,0,200
9,188.0,CENSOR_TRACK,,95,93,0,80,120
10,188.62521547388582,EXPOSE_CLIENT,Proxy 26,0,1,0,0,200
11,192.28054634415977,EXPOSE_CLIENT,Proxy 4,0,1,0,0,200
12,200.2533673301896,EXPOSE_CLIENT,Proxy 169,0,1,0,0,200
13,204.7959957245974,EXPOSE_CLIENT,Proxy 51,1,1,0,0,200
14,205.7318097110244,EXPOSE_CLIENT,Proxy 35,0,1,0,0,200
15,207.2464743436342,EXPOSE_CLIENT,Proxy 124,1,1,0,0,200
16,208.15715381481587,EXPOSE_CLIENT,Proxy 39,0,1,0,0,200
17,212.8693314959832,EXPOSE_CLIENT,Proxy 110,1,1,0,0,200
18,218.49607088381725,EXPOSE_CLIENT,Proxy 188,0,1,0,0,200
19,218.75488095918908,EXPOSE_CLIENT,Proxy 121,0,1,0,0,200
20,218.79371319762652,EXPOSE_CLIENT,Proxy 4,1,1,0,0,200
21,221.2544126224869,EXPOSE_CLIENT,Proxy 74,0,1,0,0,200
22,222.88149733358452,EXPOSE_CLIENT,Proxy 67,0,1,0,0,200
23,229.35678819627387,EXPOSE_CLIENT,Proxy 27,0,2,0,0,200
24,229.36964601977797,EXPOSE_CLIENT,Proxy 140,0,1,0,0,200
25,247.0,CENSOR_TRACK,,126,121,0,100,100
26,244.71394709281086,EXPOSE_CLIENT,Proxy 199,0,1,0,0,200
27,245.62413383693635,EXPOSE_CLIENT,Proxy 16,0,1,0,0,200
28,258.0183225531567,EXPOSE_CLIENT,Proxy 26,1,1,0,0,200
29,266.28531938490335,EXPOSE_CLIENT,Proxy 14,0,1,0,0,200
30,289.2643796135978,EXPOSE_CLIENT,Proxy 166,0,1,0,0,200
31,289.51965501724067,EXPOSE_CLIENT,Proxy 190,0,1,0,0,200
32,304.0,CENSOR_TRACK,,155,149,0,120,80
33,292.82943410958427,EXPOSE_CLIENT,Proxy 184,0,2,0,0,200
34,297.0753765941656,EXPOSE_CLIENT,Proxy 14,1,1,0,0,200
35,303.53831106178006,EXPOSE_CLIENT,Proxy 103,1,1,0,0,200
36,305.68367726757623,EXPOSE_CLIENT,Proxy 193,0,1,0,0,200
37,309.3761994593737,EXPOSE_CLIENT,Proxy 67,1,1,0,0,200
38,310.7532179652948,EXPOSE_CLIENT,Proxy 79,0,1,0,0,200
39,317.09887611817413,EXPOSE_CLIENT,Proxy 145,0,1,0,0,200
40,319.86551698190056,EXPOSE_CLIENT,Proxy 55,0,1,0,0,200
41,321.06287076649346,EXPOSE_CLIENT,Proxy 9,0,1,0,0,200
42,325.1555767200917,EXPOSE_CLIENT,Proxy 83,0,1,0,0,200
43,325.9721635963292,EXPOSE_CLIENT,Proxy 123,1,1,0,0,200
44,327.32191105643153,EXPOSE_CLIENT,Proxy 57,0,1,0,0,200
45,328.46474602221696,EXPOSE_CLIENT,Proxy 156,0,2,0,0,200
46,337.00758224557853,EXPOSE_CLIENT,Proxy 109,1,1,0,0,200
47,358.65406876735267,EXPOSE_CLIENT,Proxy 140,1,1,0,0,200
48,358.7230672487875,EXPOSE_CLIENT,Proxy 57,1,1,0,0,200
49,360.5082839526852,EXPOSE_CLIENT,Proxy 9,1,1,0,0,200
50,361.76790463349334,EXPOSE_CLIENT,Proxy 63,1,1,0,0,200
51,363.8024057528884,EXPOSE_CLIENT,Proxy 196,1,1,0,0,200
52,365.22649419905326,EXPOSE_CLIENT,Proxy 107,1,1,0,0,200
53,366.70534799094105,EXPOSE_CLIENT,Proxy 7,0,2,0,0,200
54,371.2754529580631,EXPOSE_CLIENT,Proxy 62,1,1,0,0,200
55,371.6105126134651,EXPOSE_CLIENT,Proxy 188,1,1,0,0,200
56,373.3930538966963,EXPOSE_CLIENT,Proxy 99,1,1,0,0,200
57,374.2323134947479,EXPOSE_CLIENT,Proxy 179,0,1,0,0,200
58,390.0,CENSOR_TRACK,,199,191,0,140,60
59,380.2410780125551,EXPOSE_CLIENT,Proxy 161,1,1,0,0,200
60,382.7694574662158,EXPOSE_CLIENT,Proxy 164,1,1,0,0,200
61,384.7026482582369,EXPOSE_CLIENT,Proxy 151,0,1,0,0,200
62,391.4195014244422,EXPOSE_CLIENT,Proxy 149,0,1,0,0,200
63,392.04946778988005,EXPOSE_CLIENT,Proxy 133,1,1,0,0,200
64,394.46317747432386,EXPOSE_CLIENT,Proxy 129,0,1,0,0,200
65,401.0166162534255,EXPOSE_CLIENT,Proxy 121,1,1,0,0,200
66,402.6180837138876,EXPOSE_CLIENT,Proxy 81,0,1,0,0,200
67,407.2299700272275,EXPOSE_CLIENT,Proxy 70,1,1,0,0,200
68,409.24041048139264,EXPOSE_CLIENT,Proxy 47,0,2,0,0,200
69,415.33698391668594,EXPOSE_CLIENT,Proxy 189,1,1,0,0,200
70,415.38493997725993,EXPOSE_CLIENT,Proxy 48,0,2,0,0,200
71,416.98823622582,EXPOSE_CLIENT,Proxy 31,1,1,0,0,200
72,425.1050004627055,EXPOSE_CLIENT,Proxy 124,2,1,0,0,200
73,427.57581740308075,EXPOSE_CLIENT,Proxy 50,0,1,0,0,200
74,429.1371252793808,EXPOSE_CLIENT,Proxy 89,0,2,0,0,200
75,429.64017632281156,EXPOSE_CLIENT,Proxy 82,0,1,0,0,200
76,431.2850750998716,EXPOSE_CLIENT,Proxy 35,1,1,0,0,200
77,432.5931584788301,EXPOSE_CLIENT,Proxy 161,2,1,0,0,200
78,433.22568420266276,EXPOSE_CLIENT,Proxy 81,1,1,0,0,200
79,435.31686273796714,EXPOSE_CLIENT,Proxy 51,2,1,0,0,200
80,437.0706571115317,EXPOSE_CLIENT,Proxy 172,1,1,0,0,200
81,438.83675107536305,EXPOSE_CLIENT,Proxy 159,1,1,0,0,200
82,445.04952418507054,EXPOSE_CLIENT,Proxy 29,0,2,0,0,200
83,447.2960788141141,EXPOSE_CLIENT,Proxy 198,1,1,0,0,200
84,451.4792833419713,EXPOSE_CLIENT,Proxy 94,0,2,0,0,200
85,453.47048872347835,EXPOSE_CLIENT,Proxy 83,1,1,0,0,200
86,453.7884368687116,EXPOSE_CLIENT,Proxy 122,0,2,0,0,200
87,458.0625203925627,EXPOSE_CLIENT,Proxy 177,1,1,0,0,200
88,469.92522307184635,EXPOSE_CLIENT,Proxy 158,1,1,0,0,200
89,476.3949146400801,EXPOSE_CLIENT,Proxy 26,2,1,0,0,200
90,478.8918250548873,EXPOSE_CLIENT,Proxy 30,1,2,0,0,200
91,480.47771021253493,EXPOSE_CLIENT,Proxy 78,0,2,0,0,200
92,484.2753907732132,EXPOSE_CLIENT,Proxy 183,1,1,0,0,200
93,485.1221487409843,EXPOSE_CLIENT,Proxy 162,0,1,0,0,200
94,485.918072190904,EXPOSE_CLIENT,Proxy 186,0,1,0,0,200
95,486.1275328389121,EXPOSE_CLIENT,Proxy 35,2,1,0,0,200
96,489.0841462425067,EXPOSE_CLIENT,Proxy 149,1,1,0,0,200
97,489.80706948893,EXPOSE_CLIENT,Proxy 39,1,1,0,0,200
98,490.554153901716,EXPOSE_CLIENT,Proxy 29,1,2,0,0,200
99,497.60993100229985,EXPOSE_CLIENT,Proxy 56,1,2,0,0,200
100,500.6774259164546,EXPOSE_CLIENT,Proxy 199,1,1,0,0,200
101,502.05278460305544,EXPOSE_CLIENT,Proxy 151,1,1,0,0,200
102,503.1266618017905,EXPOSE_CLIENT,Proxy 142,0,3,0,0,200
103,507.36730651813787,EXPOSE_CLIENT,Proxy 77,0,1,0,0,200
104,509.1059515572052,EXPOSE_CLIENT,Proxy 126,0,1,0,0,200
105,512.4169491854748,EXPOSE_CLIENT,Proxy 175,0,1,0,0,200
106,512.6908562694447,EXPOSE_CLIENT,Proxy 80,0,2,0,0,200
107,519.0388805473251,EXPOSE_CLIENT,Proxy 20,0,2,0,0,200
108,521.3092509273514,EXPOSE_CLIENT,Proxy 16,1,2,0,0,200
109,522.3026605573648,EXPOSE_CLIENT,Proxy 54,1,1,0,0,200
110,526.4514173504499,EXPOSE_CLIENT,Proxy 158,2,1,0,0,200
111,526.8417948496317,EXPOSE_CLIENT,Proxy 66,0,2,0,0,200
112,528.247671443007,EXPOSE_CLIENT,Proxy 75,0,2,0,0,200
113,528.3212886439903,EXPOSE_CLIENT,Proxy 86,1,1,0,0,200
114,531.954417460107,EXPOSE_CLIENT,Proxy 1,0,3,0,0,200
