,action,honest_clients,malicious_clients,proxy_name,system_health,time,total_blocked,total_healthy
0,PROXY_BLOCK,1,1,Proxy 5,90.0,50.0,1,9
1,PROXY_BLOCK,1,2,Proxy 2,80.0,50.60923718875109,2,8
2,PROXY_BLOCK,0,2,Proxy 7,70.0,52.555627536098676,3,7
3,PROXY_BLOCK,1,2,Proxy 1,60.0,53.78052004981115,4,6
4,PROXY_BLOCK,3,1,Proxy 8,50.0,55.279292654189014,5,5
5,PROXY_BLOCK,1,1,Proxy 0,40.0,57.0093993518933,6,4
6,PROXY_BLOCK,2,1,Proxy 9,30.000000000000004,57.26411607414161,7,3
7,PROXY_BLOCK,0,2,Proxy 4,19.999999999999996,57.96008247245834,8,2
8,PROXY_BLOCK,2,1,Proxy 6,9.999999999999998,62.903242448133454,9,1
9,PROXY_DEATH,0,1,Proxy 3,0.0,63.071199432664656,10,0
10,ENUMERATE_PROXY,-1,-1,Proxy 4,-1.0,0.0,-1,-1
11,ENUMERATE_PROXY,-1,-1,Proxy 7,-1.0,9.612430850821513,-1,-1
12,ENUMERATE_PROXY,-1,-1,Proxy 2,-1.0,14.798445572735968,-1,-1
13,ENUMERATE_PROXY,-1,-1,Proxy 1,-1.0,17.828442316795844,-1,-1
14,MISS_ENUMERATE_PROXY,-1,-1,Proxy 4,-1.0,17.978912795889546,-1,-1
15,ENUMERATE_PROXY,-1,-1,Proxy 0,-1.0,18.944819944392027,-1,-1
16,MISS_ENUMERATE_PROXY,-1,-1,Proxy 1,-1.0,22.51421114469128,-1,-1
17,MISS_ENUMERATE_PROXY,-1,-1,Proxy 7,-1.0,22.887243069229832,-1,-1
18,ENUMERATE_PROXY,-1,-1,Proxy 5,-1.0,31.69807442764363,-1,-1
19,ENUMERATE_PROXY,-1,-1,Proxy 9,-1.0,34.80469114533159,-1,-1
20,MISS_ENUMERATE_PROXY,-1,-1,Proxy 2,-1.0,35.62619023843688,-1,-1
21,ENUMERATE_PROXY,-1,-1,Proxy 8,-1.0,52.63121109846445,-1,-1
22,ENUMERATE_PROXY,-1,-1,Proxy 6,-1.0,62.20061087287868,-1,-1
23,ENUMERATE_PROXY,-1,-1,Proxy 3,-1.0,62.94453143979751,-1,-1
